transaction_id,client_id,date_transaction,type_transaction,montant_eur,pays_destination,contrepartie_id,sens,solde_apres_transaction,reason
3,C01,2024-01-02,depot_cash,9500,France,,IN,12000,Smurfing (depots cash fractionnes)
7,C01,2024-01-03,depot_cash,9800,France,,IN,21800,Smurfing (depots cash fractionnes)
11,C01,2024-01-04,depot_cash,9700,France,,IN,31500,Smurfing (depots cash fractionnes)
18,C01,2024-01-05,depot_cash,9600,France,,IN,41100,Smurfing (depots cash fractionnes)
21,C01,2024-01-06,depot_cash,9400,France,,IN,50500,Cash in / cash out rapide
25,C01,2024-01-07,virement,48000,France,EXT01,OUT,2500,Cash in / cash out rapide
9,C02,2024-01-10,depot_cash,20000,France,,IN,21000,Cash in / cash out rapide
14,C02,2024-01-11,virement,19500,France,EXT02,OUT,1500,Cash in / cash out rapide
6,C03,2024-01-05,virement,15000,Nigeria,EXT03,OUT,3000,Transaction vers pays a risque
4,C05,2024-01-03,virement,50000,Luxembourg,EXT09,OUT,10000,Transaction vers pays a risque
5,C06,2024-01-04,depot_cash,3000,France,,IN,8000,Cash in / cash out rapide
17,C06,2024-01-05,retrait_cash,2800,France,,OUT,5200,Cash in / cash out rapide
12,C09,2024-01-10,virement,9000,Iles Caimans,EXT15,OUT,2000,Transaction vers pays a risque
